Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
G22Trelo,com0.G22Trello,ConfigWeb,addCorsMappings,3,1,1,10,0,,
G22Trelo,com0.G22Trello,G22TreloApplication,main,3,1,1,10,0,,
G22Trelo,com0.G22Trello,BoardServiceTest,BoardServiceTest,2,1,0,48,0,,
G22Trelo,com0.G22Trello,BoardServiceTest,setUp,3,1,0,50,0,,
G22Trelo,com0.G22Trello,BoardServiceTest,testCreateBoard_UserNotFound,12,1,0,71,1,,
G22Trelo,com0.G22Trello,BoardServiceTest,testCreateBoard_ValidUser,14,1,0,97,1,,
G22Trelo,com0.G22Trello,BoardServiceTest,testUpdateBoard_Valid,10,1,0,130,1,,
G22Trelo,com0.G22Trello,BoardServiceTest,testUpdateBoard_InValidBoard,8,1,0,151,1,,
G22Trelo,com0.G22Trello,BoardServiceTest,testAddUserToBoard_ValidUserAndBoard,21,1,0,168,1,,
G22Trelo,com0.G22Trello,BoardServiceTest,testRemoveUserFromBoard_ValidUserAndBoard,19,1,0,198,1,,
G22Trelo,com0.G22Trello,BoardServiceTest,testDeleteBoard_Valid,11,1,0,233,1,,
G22Trelo,com0.G22Trello,BoardServiceTest,testDeleteBoard_InValidBoardID,9,1,0,253,1,,
G22Trelo,com0.G22Trello,G22TreloApplicationTests,contextLoads,2,1,0,9,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,setUp,3,1,0,43,0,,
G22Trelo,com0.G22Trello,TaskServiceTest,createTaskTest_Valid,10,1,0,52,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,createTaskTest_NullTaskName,8,1,0,71,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,createTaskTest_DueDateValidation,9,1,0,86,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,updateTaskTest_Valid,15,1,0,101,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,updateTaskTest_InValidTask,12,1,0,127,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,updateTaskTest_DueDateValidation,17,1,0,150,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,changeTaskStatusTest_Valid,13,1,0,180,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,changeTaskStatusTest_InValidTask,9,1,0,204,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,changeTaskStatusTest_NullStatus,12,1,0,221,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,assignMemberValidTest,10,1,0,242,1,,
G22Trelo,com0.G22Trello,TaskServiceTest,assignMemberInValidUserTest,8,1,0,258,1,,
G22Trelo,com0.G22Trello,UserServiceTest,UserServiceTest,2,1,0,39,0,,
G22Trelo,com0.G22Trello,UserServiceTest,setUp,3,1,0,42,0,,
G22Trelo,com0.G22Trello,UserServiceTest,signUpTest_valid,7,1,0,49,1,,
G22Trelo,com0.G22Trello,UserServiceTest,signUpTest_InValidPassword,5,1,0,62,1,,
G22Trelo,com0.G22Trello,UserServiceTest,signUpTest_EmailAlreadyRegisterd,7,1,0,71,1,,
G22Trelo,com0.G22Trello,UserServiceTest,signInTest_Valid,8,1,0,83,1,,
G22Trelo,com0.G22Trello,UserServiceTest,signInTest_InValidUser,7,1,0,96,1,,
G22Trelo,com0.G22Trello,UserServiceTest,signInTest_InValidPassword,8,1,0,108,1,,
G22Trelo,com0.G22Trello,UserServiceTest,resetPasswordTest_ValidSecUser,7,1,0,121,1,,
G22Trelo,com0.G22Trello,UserServiceTest,resetPasswordTest_InValidUser,6,1,0,134,1,,
G22Trelo,com0.G22Trello,UserServiceTest,testGetUserWorkspaces_ValidUser,11,1,0,144,1,,
G22Trelo,com0.G22Trello,UserServiceTest,testGetUserWorkspaces_UserNotFound,10,1,0,165,1,,
G22Trelo,com0.G22Trello,UserServiceTest,testGetUserBoards_ValidUser,19,1,0,179,1,,
G22Trelo,com0.G22Trello,UserServiceTest,testGetUserBoards_UserNotFound,10,1,0,207,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,setUp,3,1,0,49,0,,
